HGNC ID	RefSeqAcc	RefSeq	Canonical transcript	Approved symbol	NCBI gene ID	Ensembl gene ID
HGNC:6906	NM_139355	NP_647612	ENST00000310132	MATK	4145	ENSG00000007264
HGNC:1819	NM_001291485	NP_001278414	ENST00000401731	CEACAM7	1087	ENSG00000007306
HGNC:18441	NM_017744	NP_060214	ENST00000358039	ST7L	54879	ENSG00000007341
HGNC:11835	NM_012253	NP_036385	ENST00000369915	TKTL1	8277	ENSG00000007350
HGNC:14173	NM_058192	NP_478072	ENST00000007264	RPUSD1	113000	ENSG00000007376
HGNC:20561	NM_022450	NP_071895	ENST00000262316	RHBDF1	64285	ENSG00000007384
HGNC:14175	NM_001001410	NP_001001410	ENST00000007390	TSR3	115939	ENSG00000007520
HGNC:10718	NM_000450	NP_000441	ENST00000333360	SELE	6401	ENSG00000007908
HGNC:25570	NM_018198	NP_060668	ENST00000377577	DNAJC11	55735	ENSG00000007923
HGNC:3771	NM_001002294	NP_001002294	ENST00000367755	FMO3	2328	ENSG00000007933
HGNC:21155	NM_013262	NP_037394	ENST00000356840	MYLIP	29116	ENSG00000007944
HGNC:7889	NM_007052	NP_008983	ENST00000372966	NOX1	27035	ENSG00000007952
HGNC:3114	NM_004091	NP_004082	ENST00000361729	E2F2	1870	ENSG00000007968
HGNC:9537	NM_002793	NP_002784	ENST00000262193	PSMB1	5689	ENSG00000008018
HGNC:11494	NM_006950	NP_008881	ENST00000295987	SYN1	6853	ENSG00000008056
HGNC:6196	NM_004973	NP_004964	ENST00000341776	JARID2	3720	ENSG00000008083
HGNC:11411	NM_001323289	NP_001310218	ENST00000623535	CDKL5	6792	ENSG00000008086
HGNC:14585	NM_020439	NP_065172	ENST00000361322	CAMK1G	57172	ENSG00000008118
HGNC:1730	NM_024011	NP_076916	ENST00000404249	CDK11A	728642	ENSG00000008128
HGNC:29831	NM_023018	NP_075394	ENST00000341426	NADK	65220	ENSG00000008130
HGNC:11743	NM_003221	NP_003212	ENST00000393655	TFAP2B	7021	ENSG00000008196
HGNC:2899	NM_007335	NP_031361	ENST00000308059	DLEC1	9940	ENSG00000008226
HGNC:9504	NM_004227	NP_004218	ENST00000350796	CYTH3	9265	ENSG00000008256
HGNC:2571	NM_001915	NP_001906	ENST00000360793	CYB561	1534	ENSG00000008283
HGNC:14524	NM_001130528	NP_001124000	ENST00000262013	SPAG9	9043	ENSG00000008294
HGNC:3230	NM_001407	NP_001398	ENST00000164024	CELSR3	1951	ENSG00000008300
HGNC:17366	NM_005763	NP_005754	ENST00000417368	AASS	10157	ENSG00000008311
HGNC:7061	NM_020300	NP_064696	ENST00000396210	MGST1	4257	ENSG00000008394
HGNC:2384	NM_004075	NP_004066	ENST00000008527	CRY1	1407	ENSG00000008405
HGNC:8904	NM_005091	NP_005082	ENST00000008938	PGLYRP1	8993	ENSG00000008438
HGNC:10862	NM_173344	NP_775479	ENST00000522652	ST3GAL1	6482	ENSG00000008513
HGNC:14246	NM_022468	NP_071913	ENST00000336577	MMP25	64386	ENSG00000008516
HGNC:6883	NM_012324	NP_036456	ENST00000329492	MAPK8IP2	23542	ENSG00000008735
HGNC:22963	NM_014815	NP_055630	ENST00000394128	MED24	9862	ENSG00000008838
HGNC:29273	NM_019024	NP_061897	ENST00000233099	HEATR5B	54497	ENSG00000008869
HGNC:11846	NM_003262	NP_003253	ENST00000337002	SEC62	7095	ENSG00000008952
HGNC:29905	NM_001007553	NP_001007554	ENST00000358528	CSDE1	7812	ENSG00000009307
HGNC:16803	NM_014671	NP_055486	ENST00000348165	UBE3C	9690	ENSG00000009335
HGNC:20954	NM_016485	NP_057569	ENST00000367630	VTA1	51534	ENSG00000009844
HGNC:12744	NM_032951	NP_116569	ENST00000313375	MLXIPL	51085	ENSG00000009950
HGNC:961	NM_032408	NP_115784	ENST00000339594	BAZ1B	9031	ENSG00000009954
HGNC:13727	NM_005493	NP_005484	ENST00000011619	RANBP9	10048	ENSG00000010017
HGNC:18160	NM_016135	NP_057219	ENST00000340181	ETV7	51513	ENSG00000010030
HGNC:25356	NM_032018	NP_114407	ENST00000295050	SPRTN	83932	ENSG00000010072
HGNC:24248	NM_015935	NP_057019	ENST00000361735	EEF1AKNMT	51603	ENSG00000010165
HGNC:12585	NM_003365	NP_003356	ENST00000203407	UQCRC1	7384	ENSG00000010256
